id,bbox,country,code,vegetation,All occurances,All species,All genus,All family,All shannon,All simpson,Plants occurances,Plants species,Plants genus,Plants family,Plants shannon,Plants simpson,Animals occurances,Animals species,Animals genus,Animals family,Animals shannon,Animals simpson,Birds occurances,Birds species,Birds genus,Birds family,Birds shannon,Birds simpson,Insects occurances,Insects species,Insects genus,Insects family,Insects shannon,Insects simpson
01WCN,"[-179.27373550867588, 64.81655030472247, -178.90051820802694, 65.23483255359773]",Russia,RU,0.011539,350,13,9,1,1.8513264949869352,0.7931155778894472,0,,,,,,350,13.0,9.0,1.0,1.8513264949869352,0.7931155778894472,350,13.0,9.0,1.0,1.8513264949869352,0.7931155778894472,0,,,,,
01WDN,"[-179.1879174559298, 65.62092379757253, -178.95361838350675, 65.80742902519624]",Russia,RU,0.0,353,15,10,2,1.944637782100151,0.8119597989949748,0,,,,,,353,15.0,10.0,2.0,1.944637782100151,0.8119597989949748,350,14.0,9.0,1.0,1.8589468563041252,0.7940703517587939,0,,,,,
01WFM,"[-174.93824181397912, 63.87577717070686, -172.5716210813361, 64.89346314699368]",Russia,RU,0.292356,464,3,3,3,0.19921858109631174,0.08678391959798992,1,,,,,,463,3.0,3.0,3.0,0.19921858109631174,0.08678391959798992,2,,,,,,0,,,,,
01WFN,"[-174.24319571437613, 64.77074135158136, -172.41850676127294, 65.77536684782821]",Russia,RU,0.409852,421,1,1,1,-0.0,0.0,0,,,,,,421,1.0,1.0,1.0,-0.0,0.0,0,,,,,,0,,,,,
02WMS,"[-170.99973405843116, 64.8898512428375, -170.79361623177928, 64.92399553692684]",Russia,RU,0.0,454,4,4,4,0.09436169374111801,0.029849246231155813,1,,,,,,453,3.0,3.0,3.0,0.06293300616044681,0.019949748743718576,2,,,,,,0,,,,,
34UDF,"[19.434601639013216, 54.050496442234184, 21.15275327372747, 55.04689020612033]",Russia,RU,56.236577,12462,166,149,82,4.803608228194113,0.9883970324531486,6543,134.0,114.0,46.0,4.771479524315357,0.9951758793969849,5795,126.0,113.0,70.0,4.225612182791874,0.9749067249067249,4251,70.0,57.0,31.0,3.350285298091537,0.9373868787030305,1173,160.0,145.0,64.0,4.9689557780185005,0.9967514339373635
34UDG,"[19.39856308565152, 54.94906599057673, 21.156271749271227, 55.945635321533295]",Russia,RU,2.104077,2580,128,118,69,3.7833614568506673,0.9255597888687771,609,125.0,116.0,49.0,4.629706048931397,0.9924876909801533,1934,94.0,83.0,53.0,3.369974396931952,0.8950932484123062,1588,74.0,60.0,32.0,3.3361765162368737,0.9348685158638057,199,,,,,
34UEF,"[20.999686980376275, 55.04186049343745, 21.002787329272294, 55.04698603201948]",Russia,RU,0.0,2547,158,139,77,4.945502614821718,0.996413199426112,1674,147.0,120.0,54.0,4.879331199814242,0.9962311557788944,853,150.0,141.0,80.0,4.739570111259084,0.9905108904548366,406,74.0,55.0,34.0,3.887428704483222,0.9745160073143122,380,166.0,157.0,66.0,5.017714838741676,0.9972824693636876
34UEG,"[20.999679770335767, 54.947017819877004, 22.757275694897576, 55.94573440279175]",Russia,RU,78.791165,663,121,109,70,4.038849467491522,0.9680550534870332,202,130.0,103.0,52.0,4.733360741511194,0.9948717948717949,452,73.0,63.0,38.0,3.359266905422321,0.9282656057592119,436,77.0,63.0,32.0,3.5320307904235,0.9456193928323391,7,,,,,
35VNC,"[26.99967214264045, 56.57694673411378, 27.174652548660436, 56.84381181769674]",Russia,RU,87.483978,871,151,143,82,4.928234454890441,0.9970481759955444,144,,,,,,719,134.0,132.0,75.0,4.487035445559803,0.9746543778801844,180,,,,,,425,131.0,126.0,48.0,4.7665002833285905,0.9954997383568812
